,time,city,temp,pressure,humidity,desc
0,1588744800,Mumbai,303.81,1008,72,few clouds
1,1588755600,Mumbai,304.24,1006,69,clear sky
2,1588766400,Mumbai,304.51,1005,64,clear sky
3,1588777200,Mumbai,303.49,1007,67,clear sky
4,1588788000,Mumbai,303.06,1008,69,clear sky
5,1588798800,Mumbai,302.15,1007,68,clear sky
6,1588809600,Mumbai,301.52,1007,65,clear sky
7,1588820400,Mumbai,302.93,1010,58,clear sky
8,1588831200,Mumbai,304.32,1009,58,clear sky
9,1588842000,Mumbai,303.97,1006,67,clear sky
10,1588852800,Mumbai,303.56,1005,72,clear sky
11,1588863600,Mumbai,302.5,1007,78,clear sky
12,1588874400,Mumbai,302.16,1009,77,clear sky
13,1588885200,Mumbai,301.69,1008,77,clear sky
14,1588896000,Mumbai,301.22,1008,74,clear sky
15,1588906800,Mumbai,302.11,1010,71,clear sky
16,1588917600,Mumbai,303.34,1010,65,clear sky
17,1588928400,Mumbai,303.75,1007,67,clear sky
18,1588939200,Mumbai,303.03,1006,74,clear sky
19,1588950000,Mumbai,302.19,1009,79,clear sky
20,1588960800,Mumbai,301.78,1009,79,clear sky
21,1588971600,Mumbai,301.49,1007,77,clear sky
22,1588982400,Mumbai,300.87,1007,79,clear sky
23,1588993200,Mumbai,302.0,1009,72,clear sky
24,1589004000,Mumbai,303.47,1009,66,clear sky
25,1589014800,Mumbai,304.04,1006,67,clear sky
26,1589025600,Mumbai,303.5,1005,72,clear sky
27,1589036400,Mumbai,302.58,1007,78,clear sky
28,1589047200,Mumbai,302.4,1008,76,clear sky
29,1589058000,Mumbai,301.81,1007,78,clear sky
30,1589068800,Mumbai,301.13,1007,79,clear sky
31,1589079600,Mumbai,302.1,1009,73,clear sky
32,1589090400,Mumbai,304.36,1009,61,clear sky
33,1589101200,Mumbai,303.96,1006,69,clear sky
34,1589112000,Mumbai,303.84,1005,68,clear sky
35,1589122800,Mumbai,302.58,1006,78,clear sky
36,1589133600,Mumbai,302.22,1008,78,clear sky
37,1589144400,Mumbai,301.52,1007,79,clear sky
38,1589155200,Mumbai,301.19,1007,76,few clouds
39,1589166000,Mumbai,301.79,1010,72,broken clouds
40,1588744800,New York,285.48,1012,39,few clouds
41,1588755600,New York,284.54,1012,49,broken clouds
42,1588766400,New York,284.08,1011,57,overcast clouds
43,1588777200,New York,284.74,1009,54,overcast clouds
44,1588788000,New York,283.35,1008,59,light rain
45,1588798800,New York,281.67,1005,70,light rain
46,1588809600,New York,281.16,1006,76,light rain
47,1588820400,New York,281.22,1006,74,light rain
48,1588831200,New York,281.36,1006,71,overcast clouds
49,1588842000,New York,281.87,1006,74,light rain
50,1588852800,New York,282.67,1007,69,overcast clouds
51,1588863600,New York,286.04,1007,50,scattered clouds
52,1588874400,New York,289.86,1007,31,scattered clouds
53,1588885200,New York,290.43,1006,30,broken clouds
54,1588896000,New York,288.01,1008,39,broken clouds
55,1588906800,New York,286.75,1008,43,scattered clouds
56,1588917600,New York,285.63,1007,61,light rain
57,1588928400,New York,281.69,1009,54,broken clouds
58,1588939200,New York,280.19,1011,54,scattered clouds
59,1588950000,New York,283.23,1011,43,clear sky
60,1588960800,New York,286.15,1010,35,broken clouds
61,1588971600,New York,286.4,1008,35,overcast clouds
62,1588982400,New York,283.24,1008,47,light rain
63,1588993200,New York,280.09,1007,70,light rain
64,1589004000,New York,279.12,1004,70,light rain
65,1589014800,New York,279.7,1003,54,light snow
66,1589025600,New York,279.13,1003,61,overcast clouds
67,1589036400,New York,283.09,1004,45,clear sky
68,1589047200,New York,284.99,1004,39,scattered clouds
69,1589058000,New York,283.34,1005,45,light rain
70,1589068800,New York,281.82,1010,49,overcast clouds
71,1589079600,New York,279.5,1013,57,scattered clouds
72,1589090400,New York,278.73,1016,59,few clouds
73,1589101200,New York,278.08,1017,63,clear sky
74,1589112000,New York,279.26,1017,59,clear sky
75,1589122800,New York,283.33,1018,45,clear sky
76,1589133600,New York,287.1,1017,35,clear sky
77,1589144400,New York,287.97,1016,35,overcast clouds
78,1589155200,New York,286.32,1017,40,overcast clouds
79,1589166000,New York,284.08,1019,45,scattered clouds
80,1588744800,San Francisco,286.55,1021,79,broken clouds
81,1588755600,San Francisco,285.55,1022,75,overcast clouds
82,1588766400,San Francisco,284.86,1022,72,overcast clouds
83,1588777200,San Francisco,285.86,1022,61,clear sky
84,1588788000,San Francisco,289.69,1021,51,clear sky
85,1588798800,San Francisco,292.2,1019,49,clear sky
86,1588809600,San Francisco,291.66,1017,50,few clouds
87,1588820400,San Francisco,289.26,1017,60,few clouds
88,1588831200,San Francisco,287.7,1017,66,clear sky
89,1588842000,San Francisco,286.71,1015,70,clear sky
90,1588852800,San Francisco,286.41,1014,69,clear sky
91,1588863600,San Francisco,287.83,1014,63,clear sky
92,1588874400,San Francisco,292.57,1014,39,clear sky
93,1588885200,San Francisco,293.78,1014,39,scattered clouds
94,1588896000,San Francisco,291.02,1012,51,broken clouds
95,1588906800,San Francisco,288.48,1012,61,broken clouds
96,1588917600,San Francisco,286.69,1012,70,broken clouds
97,1588928400,San Francisco,286.13,1011,74,few clouds
98,1588939200,San Francisco,285.92,1011,76,clear sky
99,1588950000,San Francisco,288.08,1012,64,clear sky
100,1588960800,San Francisco,293.05,1012,47,few clouds
101,1588971600,San Francisco,294.52,1012,43,broken clouds
102,1588982400,San Francisco,292.14,1011,50,overcast clouds
103,1588993200,San Francisco,288.23,1011,67,overcast clouds
104,1589004000,San Francisco,286.81,1012,75,overcast clouds
105,1589014800,San Francisco,286.21,1012,79,broken clouds
106,1589025600,San Francisco,285.62,1012,83,broken clouds
107,1589036400,San Francisco,287.02,1013,76,scattered clouds
108,1589047200,San Francisco,290.81,1013,57,scattered clouds
109,1589058000,San Francisco,292.98,1012,49,few clouds
110,1589068800,San Francisco,291.83,1011,52,scattered clouds
111,1589079600,San Francisco,288.44,1011,68,scattered clouds
112,1589090400,San Francisco,287.23,1012,74,broken clouds
113,1589101200,San Francisco,286.21,1011,81,overcast clouds
114,1589112000,San Francisco,285.47,1011,86,overcast clouds
115,1589122800,San Francisco,286.31,1012,81,overcast clouds
116,1589133600,San Francisco,288.79,1012,68,overcast clouds
117,1589144400,San Francisco,289.61,1012,66,overcast clouds
118,1589155200,San Francisco,288.75,1011,70,broken clouds
119,1589166000,San Francisco,287.05,1011,78,overcast clouds
120,1588744800,Los Angeles,298.34,1013,31,clear sky
121,1588755600,Los Angeles,297.07,1014,34,clear sky
122,1588766400,Los Angeles,295.96,1014,34,scattered clouds
123,1588777200,Los Angeles,298.02,1014,25,broken clouds
124,1588788000,Los Angeles,303.28,1013,14,broken clouds
125,1588798800,Los Angeles,306.02,1012,12,overcast clouds
126,1588809600,Los Angeles,304.59,1011,15,overcast clouds
127,1588820400,Los Angeles,300.71,1011,22,overcast clouds
128,1588831200,Los Angeles,299.47,1012,23,overcast clouds
129,1588842000,Los Angeles,298.32,1011,23,overcast clouds
130,1588852800,Los Angeles,297.01,1011,25,overcast clouds
131,1588863600,Los Angeles,298.23,1011,24,overcast clouds
132,1588874400,Los Angeles,303.48,1011,16,overcast clouds
133,1588885200,Los Angeles,305.67,1011,16,overcast clouds
134,1588896000,Los Angeles,303.38,1009,20,overcast clouds
135,1588906800,Los Angeles,298.96,1010,29,overcast clouds
136,1588917600,Los Angeles,297.18,1011,33,overcast clouds
137,1588928400,Los Angeles,295.81,1010,36,scattered clouds
138,1588939200,Los Angeles,294.65,1010,39,few clouds
139,1588950000,Los Angeles,296.27,1012,35,clear sky
140,1588960800,Los Angeles,301.34,1012,23,clear sky
141,1588971600,Los Angeles,304.09,1012,17,clear sky
142,1588982400,Los Angeles,302.93,1010,20,clear sky
143,1588993200,Los Angeles,298.1,1011,34,broken clouds
144,1589004000,Los Angeles,296.52,1013,39,broken clouds
145,1589014800,Los Angeles,295.25,1012,43,overcast clouds
146,1589025600,Los Angeles,294.78,1012,43,broken clouds
147,1589036400,Los Angeles,295.98,1013,41,scattered clouds
148,1589047200,Los Angeles,300.69,1014,26,scattered clouds
149,1589058000,Los Angeles,303.25,1012,23,clear sky
150,1589068800,Los Angeles,300.56,1011,29,clear sky
151,1589079600,Los Angeles,297.41,1012,35,clear sky
152,1589090400,Los Angeles,295.73,1013,40,clear sky
153,1589101200,Los Angeles,295.1,1012,41,clear sky
154,1589112000,Los Angeles,294.33,1012,43,clear sky
155,1589122800,Los Angeles,295.64,1013,39,clear sky
156,1589133600,Los Angeles,300.01,1013,26,clear sky
157,1589144400,Los Angeles,302.51,1012,22,clear sky
158,1589155200,Los Angeles,298.92,1011,30,few clouds
159,1589166000,Los Angeles,294.85,1012,43,few clouds
160,1588744800,Austin,294.78,1019,55,overcast clouds
161,1588755600,Austin,293.13,1019,57,overcast clouds
162,1588766400,Austin,290.87,1021,61,broken clouds
163,1588777200,Austin,294.98,1023,39,clear sky
164,1588788000,Austin,300.29,1021,29,clear sky
165,1588798800,Austin,302.13,1019,23,clear sky
166,1588809600,Austin,299.78,1019,30,clear sky
167,1588820400,Austin,295.62,1021,43,clear sky
168,1588831200,Austin,292.99,1022,53,clear sky
169,1588842000,Austin,291.08,1021,65,clear sky
170,1588852800,Austin,290.42,1020,69,clear sky
171,1588863600,Austin,295.97,1020,50,clear sky
172,1588874400,Austin,300.89,1018,38,clear sky
173,1588885200,Austin,302.72,1015,42,clear sky
174,1588896000,Austin,299.71,1012,55,scattered clouds
175,1588906800,Austin,295.51,1012,74,few clouds
176,1588917600,Austin,295.37,1011,77,scattered clouds
177,1588928400,Austin,295.87,1009,76,overcast clouds
178,1588939200,Austin,295.87,1010,77,overcast clouds
179,1588950000,Austin,297.06,1014,74,light rain
180,1588960800,Austin,297.78,1015,41,light rain
181,1588971600,Austin,299.0,1015,43,overcast clouds
182,1588982400,Austin,295.85,1014,45,overcast clouds
183,1588993200,Austin,293.3,1018,57,overcast clouds
184,1589004000,Austin,291.37,1019,59,overcast clouds
185,1589014800,Austin,289.94,1020,62,overcast clouds
186,1589025600,Austin,288.43,1021,65,overcast clouds
187,1589036400,Austin,290.99,1022,52,overcast clouds
188,1589047200,Austin,295.71,1020,35,overcast clouds
189,1589058000,Austin,298.0,1018,33,overcast clouds
190,1589068800,Austin,295.87,1018,39,overcast clouds
191,1589079600,Austin,291.91,1020,52,overcast clouds
192,1589090400,Austin,290.4,1021,52,overcast clouds
193,1589101200,Austin,288.02,1021,64,broken clouds
194,1589112000,Austin,287.07,1023,62,broken clouds
195,1589122800,Austin,292.11,1024,45,overcast clouds
196,1589133600,Austin,297.86,1023,28,broken clouds
197,1589144400,Austin,299.83,1021,24,clear sky
198,1589155200,Austin,297.77,1020,31,clear sky
199,1589166000,Austin,292.75,1022,47,clear sky
200,1588744800,Hyderabad,307.73,1010,47,scattered clouds
201,1588755600,Hyderabad,310.85,1005,28,broken clouds
202,1588766400,Hyderabad,309.96,1004,24,broken clouds
203,1588777200,Hyderabad,307.06,1005,26,broken clouds
204,1588788000,Hyderabad,304.14,1007,42,scattered clouds
205,1588798800,Hyderabad,301.57,1006,50,clear sky
206,1588809600,Hyderabad,299.88,1007,55,clear sky
207,1588820400,Hyderabad,306.18,1009,32,scattered clouds
208,1588831200,Hyderabad,311.3,1007,22,scattered clouds
209,1588842000,Hyderabad,311.92,1004,20,broken clouds
210,1588852800,Hyderabad,310.66,1003,21,broken clouds
211,1588863600,Hyderabad,306.45,1005,28,few clouds
212,1588874400,Hyderabad,303.82,1006,43,clear sky
213,1588885200,Hyderabad,301.45,1006,48,scattered clouds
214,1588896000,Hyderabad,300.72,1007,47,scattered clouds
215,1588906800,Hyderabad,306.96,1009,35,few clouds
216,1588917600,Hyderabad,312.82,1007,20,few clouds
217,1588928400,Hyderabad,312.98,1003,18,scattered clouds
218,1588939200,Hyderabad,310.57,1002,22,broken clouds
219,1588950000,Hyderabad,307.59,1005,25,broken clouds
220,1588960800,Hyderabad,303.87,1006,48,scattered clouds
221,1588971600,Hyderabad,301.44,1005,52,clear sky
222,1588982400,Hyderabad,300.8,1006,53,clear sky
223,1588993200,Hyderabad,307.02,1008,36,clear sky
224,1589004000,Hyderabad,312.2,1006,21,clear sky
225,1589014800,Hyderabad,313.48,1003,17,scattered clouds
226,1589025600,Hyderabad,310.05,1002,22,light rain
227,1589036400,Hyderabad,307.55,1004,25,light rain
228,1589047200,Hyderabad,305.03,1006,37,clear sky
229,1589058000,Hyderabad,301.46,1005,53,clear sky
230,1589068800,Hyderabad,300.61,1006,52,clear sky
231,1589079600,Hyderabad,306.66,1008,32,clear sky
232,1589090400,Hyderabad,311.84,1006,21,clear sky
233,1589101200,Hyderabad,313.58,1003,16,few clouds
234,1589112000,Hyderabad,307.32,1002,28,light rain
235,1589122800,Hyderabad,304.2,1004,39,light rain
236,1589133600,Hyderabad,304.76,1006,34,scattered clouds
237,1589144400,Hyderabad,301.03,1006,54,scattered clouds
238,1589155200,Hyderabad,299.46,1007,63,light rain
239,1589166000,Hyderabad,304.68,1008,44,clear sky
240,1588744800,Muscat,305.35,1008,64,clear sky
241,1588755600,Muscat,307.58,1008,48,clear sky
242,1588766400,Muscat,307.8,1006,40,clear sky
243,1588777200,Muscat,307.36,1007,39,clear sky
244,1588788000,Muscat,306.66,1009,42,clear sky
245,1588798800,Muscat,305.91,1007,44,clear sky
246,1588809600,Muscat,304.94,1006,45,clear sky
247,1588820400,Muscat,306.41,1008,41,clear sky
248,1588831200,Muscat,308.31,1008,32,clear sky
249,1588842000,Muscat,308.96,1007,33,clear sky
250,1588852800,Muscat,308.9,1005,30,clear sky
251,1588863600,Muscat,307.7,1006,32,clear sky
252,1588874400,Muscat,307.32,1008,29,clear sky
253,1588885200,Muscat,306.39,1007,30,clear sky
254,1588896000,Muscat,305.35,1006,34,few clouds
255,1588906800,Muscat,306.85,1008,32,overcast clouds
256,1588917600,Muscat,309.82,1008,26,broken clouds
257,1588928400,Muscat,310.68,1007,24,few clouds
258,1588939200,Muscat,309.67,1004,25,clear sky
259,1588950000,Muscat,308.59,1005,23,clear sky
260,1588960800,Muscat,307.63,1007,25,clear sky
261,1588971600,Muscat,305.94,1005,32,clear sky
262,1588982400,Muscat,304.75,1005,41,clear sky
263,1588993200,Muscat,306.4,1006,39,clear sky
264,1589004000,Muscat,309.35,1007,21,clear sky
265,1589014800,Muscat,309.04,1005,24,clear sky
266,1589025600,Muscat,308.12,1004,30,clear sky
